trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-89.76890750522132,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.82966534745678,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-108.77831505479008,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-98.12901016631945,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,14,8.92833341527517,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-151.2299949829429,"{0: 11, 1: 0, 2: 4, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-102.59355365877934,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-68.08435391526083,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-124.6849235500558,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,18,-40.00079152589329,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-134.37081410587115,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-71.97577288209528,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,13,-19.19679531106236,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-36.395255614212296,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-34.767775232246095,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,-7.3414301579451475,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-54.590470159393924,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-49.54788230816278,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,9.98379644318504,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-51.99318414707047,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,7.838132925222063,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-170.75104753183,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,6,-22.932809489107914,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,12,-27.615666251428852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-10.959650963258358,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-84.7040109687494,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,16,21.232133414651983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,8.59075295009874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,21.810052241900717,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-24.624135098270568,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
