trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.99}",30,0,-70.34431202900262,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 1, 'e': 0.9801}",25,0,-201.67783444425024,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 1, 'e': 0.970299}",25,0,-62.121020048367804,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 1, 'e': 0.96059601}",20,0,-88.62870474337639,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 1, 'e': 0.9509900498999999}",30,5,-102.46419501450701,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",1
6,False,"{'a': 1, 'e': 0.941480149401}",25,0,-133.66345489595128,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 1, 'e': 0.9320653479069899}",20,0,-60.785661122332066,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 1, 'e': 0.9227446944279201}",20,0,-160.69678631462327,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 1, 'e': 0.9135172474836408}",30,0,-231.08786819375743,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 1, 'e': 0.9043820750088044}",20,0,-158.93197571397056,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 1, 'e': 0.8953382542587164}",20,0,-192.54378864103128,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
12,False,"{'a': 1, 'e': 0.8863848717161292}",35,0,-117.84469889020794,"{0: 21, 1: 6, 2: 5, 3: 3, 4: 0}",0
13,False,"{'a': 1, 'e': 0.8775210229989678}",30,0,-89.81582304233724,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 1, 'e': 0.8687458127689782}",20,13,-5.528016460299896,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 1, 'e': 0.8600583546412884}",25,11,-18.073681152417503,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 1, 'e': 0.8514577710948755}",20,0,-108.43587987774055,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 1, 'e': 0.8429431933839268}",25,3,-123.98793821829331,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
18,False,"{'a': 1, 'e': 0.8345137614500875}",20,5,-50.118739184478486,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 1, 'e': 0.8261686238355866}",20,0,-78.76996602914436,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 1, 'e': 0.8179069375972308}",25,0,-125.64325803305721,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 1, 'e': 0.8097278682212584}",25,0,-105.85002449714408,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 1, 'e': 0.8016305895390459}",25,0,-59.20268753384575,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 1, 'e': 0.7936142836436554}",20,2,-78.37036903383665,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
24,False,"{'a': 1, 'e': 0.7856781408072188}",20,0,-79.9713861611783,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 1, 'e': 0.7778213593991467}",25,0,-108.72147211242694,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 1, 'e': 0.7700431458051551}",25,0,-125.42463305332944,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 1, 'e': 0.7623427143471035}",20,0,-61.75235687933339,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 1, 'e': 0.7547192872036326}",20,0,-44.74842904031397,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 1, 'e': 0.7471720943315961}",35,0,-116.43248306027996,"{0: 20, 1: 8, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 1, 'e': 0.7397003733882802}",25,0,10.71633496342131,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 1, 'e': 0.7323033696543975}",25,0,-28.551019123013546,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
32,False,"{'a': 1, 'e': 0.7249803359578534}",20,0,-84.52335619190528,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
33,False,"{'a': 1, 'e': 0.7177305325982749}",25,0,-103.40066864156348,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 1, 'e': 0.7105532272722921}",25,0,-94.06332293766778,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 1, 'e': 0.7034476949995692}",25,8,-125.13098816707789,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
36,False,"{'a': 1, 'e': 0.6964132180495735}",20,0,-124.13059324336592,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
37,False,"{'a': 1, 'e': 0.6894490858690777}",30,12,-20.57901342207393,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 1, 'e': 0.682554595010387}",25,0,-83.82320834247501,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 1, 'e': 0.6757290490602831}",20,0,-123.47304048488863,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
40,False,"{'a': 1, 'e': 0.6689717585696803}",20,0,1.2467278939520128,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 1, 'e': 0.6622820409839835}",30,0,-120.52291391658598,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 1, 'e': 0.6556592205741436}",20,0,-30.508936868932768,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 1, 'e': 0.6491026283684022}",20,0,-94.33084081330108,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 1, 'e': 0.6426116020847181}",25,0,-66.49721153439127,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
45,False,"{'a': 1, 'e': 0.6361854860638709}",25,1,-50.76478552619143,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 0}",1
46,False,"{'a': 1, 'e': 0.6298236312032323}",25,0,-33.053002376425226,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 1, 'e': 0.6235253948912}",20,1,-45.85690373549089,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 1, 'e': 0.617290140942288}",25,0,-111.97967084793784,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 1, 'e': 0.611117239532865}",20,0,-76.03075008785818,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 1, 'e': 0.6050060671375364}",25,10,-103.209839922459,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 1, 'e': 0.598956006466161}",30,0,-118.0001466674289,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 3}",0
52,False,"{'a': 1, 'e': 0.5929664464014994}",20,0,-41.62907888305125,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 1, 'e': 0.5870367819374844}",25,0,-15.974156772407209,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 1, 'e': 0.5811664141181095}",20,3,-50.57983212730043,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
55,False,"{'a': 1, 'e': 0.5753547499769285}",20,0,-81.08541561617089,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",1
56,False,"{'a': 1, 'e': 0.5696012024771592}",25,0,-38.32635196328986,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 1, 'e': 0.5639051904523875}",25,12,11.66860894830944,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 1, 'e': 0.5582661385478637}",25,12,6.6041393746925205,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 1, 'e': 0.5526834771623851}",25,0,-45.95514101562134,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 1, 'e': 0.5471566423907612}",35,21,-62.30465296941735,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
61,False,"{'a': 1, 'e': 0.5416850759668536}",20,10,-8.996870623739218,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 1, 'e': 0.536268225207185}",20,0,-49.5279169422765,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 1, 'e': 0.5309055429551132}",25,0,-47.31408615893103,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
64,False,"{'a': 1, 'e': 0.525596487525562}",20,0,-36.28710832167971,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 1, 'e': 0.5203405226503064}",25,0,-97.55243314833422,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 1, 'e': 0.5151371174238033}",30,0,-146.98551118799315,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
67,False,"{'a': 1, 'e': 0.5099857462495653}",25,0,-34.281615110196014,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 1, 'e': 0.5048858887870696}",35,7,-168.7431319170122,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 3}",1
69,False,"{'a': 1, 'e': 0.4998370298991989}",20,0,-40.10132765381413,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 1, 'e': 0.49483865960020695}",25,0,-32.64294398920186,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
71,False,"{'a': 1, 'e': 0.4898902730042049}",20,0,-58.46904137140406,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 1, 'e': 0.48499137027416284}",35,0,-44.40694367158204,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 1, 'e': 0.4801414565714212}",20,8,-15.27614977262172,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 1, 'e': 0.47534004200570695}",30,10,-36.646443470070075,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 1, 'e': 0.4705866415856499}",20,6,3.100885890649843,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 1, 'e': 0.46588077516979337}",20,10,-2.9288116103407886,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 1, 'e': 0.46122196741809546}",25,18,10.679804113274587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 1, 'e': 0.4566097477439145}",30,7,-65.48847602271223,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 0}",1
79,False,"{'a': 1, 'e': 0.45204365026647536}",25,13,-32.88048643886806,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 1, 'e': 0.4475232137638106}",30,0,-52.77611302678845,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 1, 'e': 0.4430479816261725}",25,2,16.464207147850114,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 1, 'e': 0.43861750180991077}",25,0,-143.74273115140596,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
83,False,"{'a': 1, 'e': 0.43423132679181164}",25,0,-89.61368303843729,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
