trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.06262461579496,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.26809011116993,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-280.9719865134054,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.0069876157966,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.72255879298336,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.14971249288759,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-130.8137366222623,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-243.05651798607803,"{0: 6, 1: 2, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.56066447934198,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.59465017445166,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,12,-26.299787126429777,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.57630739695894,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.5727819764462,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-44.56424670605819,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,7,-83.82211613679894,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.29137796232365,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,3,-130.17235639854718,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.28083948540541,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.86212991840689,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,9,-23.271800399820652,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.84317768078043,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.58456595151057,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.03535259292416,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.87569838517163,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-233.20712168977806,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-169.13547674211603,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.55775153872324,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,4,-115.03630426030286,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,6,-119.02844466705919,"{0: 9, 1: 8, 2: 5, 3: 2, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-254.4732109869123,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
